country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
Austria,AT,AT11,Burgenland,378,822,293433,280.132091482553,15133,8858775,1546.88430398108,11.0431641551428,TRUE,11.1735146319834,1152.90372930107,Red,2021-01
Austria,AT,AT12,Niederosterreich,2405,5254,1677542,313.196331299008,15133,8858775,1546.88430398108,11.0431641551428,TRUE,5.56493972279427,2576.20971635882,Red,2021-01
Austria,AT,AT13,Wien,2542,5018,1897491,264.454482261049,15133,8858775,1546.88430398108,11.0431641551428,TRUE,8.56786544878493,1563.59107895637,Red,2021-01
Austria,AT,AT21,Karnten,1022,2033,560939,362.428000192534,15133,8858775,1546.88430398108,11.0431641551428,TRUE,19.779369072963,921.13402705107,Red,2021-01
Austria,AT,AT22,Steiermark,1704,3725,1243052,299.665661613513,15133,8858775,1546.88430398108,11.0431641551428,TRUE,12.2943722943723,1114.99760267471,Red,2021-01
Austria,AT,AT31,Oberosterreich,2063,4380,1482095,295.527614626593,15133,8858775,1546.88430398108,11.0431641551428,TRUE,16.3005689001264,853.926367742959,Red,2021-01
Austria,AT,AT32,Salzburg,1599,3607,555221,649.651219964663,15133,8858775,1546.88430398108,11.0431641551428,TRUE,19.0879789900919,1508.76858043914,Red,2021-01
Austria,AT,AT33,Tirol,937,2595,754705,343.842958506966,15133,8858775,1546.88430398108,11.0431641551428,TRUE,8.24896557795581,1505.09139332587,Red,2021-01
Austria,AT,AT34,Vorarlberg,594,1442,394297,365.714169775575,15133,8858775,1546.88430398108,11.0431641551428,TRUE,6.35498020755323,2370.5480893844,Red,2021-01
Belgium,BE,BE1,Region De Bruxelles-Capitale/brussels Hoofdstedelijk Gewest,1760,2702,1215290,222.333763957574,14417,11455519,2651.85715287103,4.7458062307429,FALSE,4.7458062307429,2651.85715287103,Red,2021-01
Belgium,BE,BE2,Vlaams Gewest,8105,14896,6596233,225.825861518233,14417,11455519,2651.85715287103,4.7458062307429,FALSE,4.7458062307429,2651.85715287103,Red,2021-01
Belgium,BE,BE3,Region Wallonne,4076,7260,3643996,199.23183230717,14417,11455519,2651.85715287103,4.7458062307429,FALSE,4.7458062307429,2651.85715287103,Red,2021-01
Bulgaria,BG,BG31,Severozapaden,600,1375,742304,185.234081993361,5460,7000039,532.854174098173,14.6380697050938,FALSE,14.6380697050938,532.854174098173,Red,2021-01
Bulgaria,BG,BG32,Severen Tsentralen,459,1077,784168,137.343018332806,5460,7000039,532.854174098173,14.6380697050938,FALSE,14.6380697050938,532.854174098173,Red,2021-01
Bulgaria,BG,BG33,Severoiztochen,709,1706,929035,183.631402476764,5460,7000039,532.854174098173,14.6380697050938,FALSE,14.6380697050938,532.854174098173,Red,2021-01
Bulgaria,BG,BG34,Yugoiztochen,834,1748,1032079,169.366879860941,5460,7000039,532.854174098173,14.6380697050938,FALSE,14.6380697050938,532.854174098173,Red,2021-01
Bulgaria,BG,BG41,Yugozapaden,1566,3315,2102205,157.691566712095,5460,7000039,532.854174098173,14.6380697050938,FALSE,14.6380697050938,532.854174098173,Red,2021-01
Bulgaria,BG,BG42,Yuzhen Tsentralen,883,1857,1410248,131.678967103658,5460,7000039,532.854174098173,14.6380697050938,FALSE,14.6380697050938,532.854174098173,Red,2021-01
Croatia,HR,HR03,Jadranska Hrvatska,2529,4854,1374071,353.25685499512,7265,4076246,1084.87073645702,16.4284745149473,TRUE,16.8870192307692,1089.90001244477,Red,2021-01
Croatia,HR,HR04,Kontinentalna Hrvatska,5134,9532,2702175,352.752874998844,7265,4076246,1084.87073645702,16.4284745149473,TRUE,17.5545373726322,1082.31332167606,Red,2021-01
Cyprus,CY,CY0,Kypros,2999,7981,875899,911.178115284982,3376,875899,8957.08295134485,4.30310369001338,FALSE,4.30310369001338,8957.08295134485,Red,2021-01
Czechia,CZ,CZ01,Praha,8579,17280,1308632,1320.46289560396,88740,10649800,3906.0921331856,21.3321922830061,FALSE,21.3321922830061,3906.0921331856,Red,2021-01
Czechia,CZ,CZ02,Stredni Cechy,10975,21340,1369332,1558.42410752104,88740,10649800,3906.0921331856,21.3321922830061,FALSE,21.3321922830061,3906.0921331856,Red,2021-01
